Tree,Species,DBH_inch,CBH_ft,HT_ft,NOTES,Notes_2018,Northing,Easting,Cluster,radius
5434,JUSC,0.1,0,5.3,,,4330630,490292,NA,NA
5420,PIPO,0.1,0,4.5,,,4330610,490113,NA,NA
6520,PIPO,0.2,2,5,,,4330860,490186,NA,NA
6651,PSME,0.2,0.4,5.7,,,4330780,490106,NA,NA
5415,PIPO,0.2,0,6,,,4330600,490115,NA,NA
5406,PIPO,0.2,0,5.7,,,4330610,490079,NA,NA
5408,PIPO,0.2,0,5.6,,,4330620,490080,NA,NA
5405,PIPO,0.2,0,5.4,,,4330610,490067,NA,NA
5416,PIPO,0.2,0,5.3,,,4330610,490119,NA,NA
5419,PIPO,0.2,0,5.3,,,4330620,490108,NA,NA
5410,PIPO,0.2,0,5,,,4330600,490098,NA,NA
6819,PIPO,0.2,0,4.9,,,4330670,490214,NA,NA
6824,PIPO,0.2,0,4.9,,,4330670,490225,NA,NA
5426,PIPO,0.2,0,4.6,,,4330620,490289,NA,NA
5367,PIPO,0.3,3.4,5.2,,,4330880,490282,NA,NA
5379,PIPO,0.3,3,5.6,,,4330850,490256,NA,NA
5355,PIPO,0.3,3,5.1,,,4330900,490281,NA,NA
5389,PIPO,0.3,2.6,5.2,,,4330820,490209,NA,NA
6634,PIPO,0.3,2.5,5.6,,,4330790,490048,NA,NA
6684,PIPO,0.3,2.5,5.5,,,4330740,490062,NA,NA
5376,PIPO,0.3,2.4,5,,,4330860,490263,NA,NA
5306,PIPO,0.3,2.3,7.1,,,4330890,490265,NA,NA
5348,PIPO,0.3,2.2,5,,,4330900,490296,NA,NA
5343,PIPO,0.3,2.1,5.3,,,4330910,490288,NA,NA
5349,PIPO,0.3,2.1,5.3,,,4330900,490294,NA,NA
5368,PIPO,0.3,2,5.3,,,4330870,490290,NA,NA
5396,PIPO,0.3,2,5,,,4330830,490203,NA,NA
5326,PIPO,0.3,1.9,5,,,4330900,490239,NA,NA
5318,PIPO,0.3,1.7,5,,,4330900,490243,NA,NA
5301,PIPO,0.3,1.7,4.9,,,4330880,490259,NA,NA
6540,PIPO,0.3,1.5,5.4,,,4330840,490174,NA,NA
6530,PIPO,0.3,1.5,5.1,,,4330850,490177,NA,NA
6579,PIPO,0.3,1.4,5.4,,,4330860,490158,NA,NA
5305,PIPO,0.3,1.4,5.3,,,4330870,490271,NA,NA
6575,PIPO,0.3,1.3,5,,,4330870,490154,NA,NA
6564,PIPO,0.3,0.7,5.1,,,4330860,490149,NA,NA
5417,PIPO,0.3,0,6.7,,,4330610,490107,NA,NA
5414,PIPO,0.3,0,6.6,,,4330600,490114,NA,NA
5403,PIPO,0.3,0,6.5,,,4330610,490062,NA,NA
5404,PIPO,0.3,0,6,,,4330610,490066,NA,NA
5409,PIPO,0.3,0,6,,,4330620,490078,NA,NA
5427,PIPO,0.3,0,5.9,,,4330610,490293,NA,NA
5278,PIPO,0.3,0,5.6,,,4330870,490249,NA,NA
5425,PIPO,0.3,0,5.6,,,4330610,490282,NA,NA
6827,PIPO,0.3,0,5.5,,,4330670,490271,NA,NA
5472,PIPO,0.3,0,5.4,,,4330660,490066,NA,NA
5428,PIPO,0.3,0,5.3,,,4330620,490296,NA,NA
5462,PIPO,0.3,0,5.3,,,4330630,490064,NA,NA
6832,PIPO,0.3,0,5.2,,,4330690,490267,NA,NA
5421,PIPO,0.3,0,5.1,,,4330620,490150,NA,NA
6825,PIPO,0.3,0,5.1,,,4330660,490250,NA,NA
5402,PIPO,0.3,0,5,,,4330610,490052,NA,NA
5431,PIPO,0.3,0,5,,,4330640,490299,NA,NA
5491,PIPO,0.3,0,5,,,4330660,490128,NA,NA
6839,PIPO,0.3,0,5,,,4330690,490220,NA,NA
6848,PIPO,0.3,0,5,,,4330630,490022,NA,NA
6851,PIPO,0.3,0,5,,,4330700,490185,NA,NA
6872,PIPO,0.3,0,5,,,4330690,490115,NA,NA
5468,PIPO,0.3,0,4.9,,,4330630,490084,NA,NA
5471,PIPO,0.3,0,4.8,,,4330650,490075,NA,NA
5478,PIPO,0.3,0,4.8,,,4330630,490105,NA,NA
6844,PIPO,0.3,0,4.8,,,4330690,490184,NA,NA
5487,PIPO,0.3,0,4.6,,,4330660,490129,NA,NA
6766,PIPO,0.3,0,4.6,,,4330750,490245,NA,NA
6808,PIPO,0.3,0,4.6,,,4330670,490190,NA,NA
6870,PIPO,0.3,0,4.6,,,4330680,490111,NA,NA
6886,PIPO,0.3,0,4.6,,,4330670,490183,NA,NA
5446,PIPO,0.3,0,4.5,,,4330680,490308,NA,NA
5494,PIPO,0.3,0,4.5,,,4330620,490142,NA,NA
6811,PIPO,0.3,0,4.5,,,4330670,490192,NA,NA
6826,PIPO,0.3,0,4.5,,,4330660,490268,NA,NA
6835,PIPO,0.3,0,4.5,,,4330700,490253,NA,NA
6862,PIPO,0.3,0,4.5,,,4330690,490100,NA,NA
6857,PIPO,0.4,1,4.7,,Check site tree location data,4330680,490078,NA,NA
4143,PIPO,0.4,4.3,11.5,,Measurement Issue,4330660,490106,NA,NA
4632,PIPO,0.4,4.5,6.7,,,4330830,490169,NA,NA
4924,PSME,0.4,4.3,7,psme forked,,4330660,490257,NA,NA
4766,PIPO,0.4,3.8,6.5,,,4330720,490019,NA,NA
6542,PIPO,0.4,3.5,5.5,,,4330830,490170,NA,NA
4453,PIPO,0.4,3.5,5.3,,,4330910,490293,NA,NA
6527,PIPO,0.4,3.2,5,,,4330860,490177,NA,NA
6660,PIPO,0.4,3,5.9,,,4330790,490217,NA,NA
5339,PIPO,0.4,3,5.5,,,4330910,490281,NA,NA
6576,PIPO,0.4,2.9,5.5,,,4330870,490155,NA,NA
4970,PIPO,0.4,2.8,4.7,,,4330840,490004,NA,NA
4979,PIPO,0.4,2.7,5.8,,,4330890,490064,NA,NA
4518,PIPO,0.4,2.7,5.7,,,4330870,490153,NA,NA
4992,PIPO,0.4,2.7,5.5,,,4330890,490069,NA,NA
6550,PIPO,0.4,2.6,5.8,,,4330830,490166,NA,NA
4955,PIPO,0.4,2.6,5.8,,,4330630,490049,NA,NA
6664,PIPO,0.4,2.6,5.6,,,4330790,490252,NA,NA
6677,PIPO,0.4,2.6,5.6,,,4330790,490200,NA,NA
6584,PIPO,0.4,2.6,5.5,,,4330870,490157,NA,NA
5380,PIPO,0.4,2.6,5.4,,,4330850,490255,NA,NA
4642,PIPO,0.4,2.6,5,,,4330820,490217,NA,NA
5338,PIPO,0.4,2.5,6.4,,,4330910,490283,NA,NA
5020,PIPO,0.4,2.5,4.9,,,4330880,490075,NA,NA
6614,PIPO,0.4,2.4,5.9,,,4330840,490086,NA,NA
5356,PIPO,0.4,2.4,5.3,,,4330890,490283,NA,NA
4540,PIPO,0.4,2.3,5.8,,,4330870,490098,NA,NA
6606,PIPO,0.4,2.3,5.7,,,4330820,490117,NA,NA
6675,PIPO,0.4,2.3,5.5,,,4330790,490205,NA,NA
6562,PIPO,0.4,2.3,5.3,,,4330840,490141,NA,NA
5312,PIPO,0.4,2.3,5.1,,,4330900,490254,NA,NA
5359,PIPO,0.4,2.3,5.1,,,4330890,490276,NA,NA
6678,PIPO,0.4,2.2,5.6,,,4330770,490201,NA,NA
5382,PIPO,0.4,2.2,5.5,,,4330840,490243,NA,NA
6512,PIPO,0.4,2.2,5,,,4330870,490190,NA,NA
6504,PIPO,0.4,2.1,5.8,,,4330840,490202,NA,NA
5302,PIPO,0.4,2.1,5.3,,,4330870,490263,NA,NA
6506,PIPO,0.4,2,5.2,,,4330860,490196,NA,NA
5369,PIPO,0.4,1.9,5.7,,,4330870,490296,NA,NA
6640,PIPO,0.4,1.9,5.6,,,4330780,490063,NA,NA
6529,PIPO,0.4,1.9,5.3,,,4330850,490172,NA,NA
5381,PIPO,0.4,1.9,5.2,,,4330850,490250,NA,NA
5059,PIPO,0.4,1.9,4.9,,,4330860,490091,NA,NA
6605,PIPO,0.4,1.8,5.6,,,4330830,490118,NA,NA
6639,PIPO,0.4,1.8,5.5,,,4330790,490062,NA,NA
5399,PIPO,0.4,1.8,5.3,,,4330830,490198,NA,NA
6615,PIPO,0.4,1.7,5.7,,,4330850,490086,NA,NA
5328,PIPO,0.4,1.6,5.5,,,4330900,490241,NA,NA
5373,PIPO,0.4,1.6,5.5,,,4330860,490267,NA,NA
6638,PIPO,0.4,1.6,5.5,,,4330790,490062,NA,NA
5370,PIPO,0.4,1.6,5.4,,,4330870,490299,NA,NA
5321,PIPO,0.4,1.6,5.3,,,4330910,490242,NA,NA
6567,PIPO,0.4,1.6,5.2,,,4330860,490149,NA,NA
5322,PIPO,0.4,1.6,5,,,4330910,490242,NA,NA
5317,PIPO,0.4,1.5,5.6,,,4330910,490245,NA,NA
5311,PIPO,0.4,1.4,5.4,,,4330890,490257,NA,NA
6536,PIPO,0.4,1.4,5.4,,,4330840,490173,NA,NA
6631,PIPO,0.4,1.2,5.7,,,4330830,490045,NA,NA
5385,PIPO,0.4,1.1,5.4,,,4330830,490213,NA,NA
4841,JUSC,0.4,0.6,7.4,JUSC,,4330670,490252,NA,NA
5053,PIPO,0.4,0.4,5.2,,,4330870,490097,NA,NA
5422,PIPO,0.4,0,6.3,,,4330620,490151,NA,NA
5109,PIPO,0.4,0,6,,,4330880,490125,NA,NA
6829,PIPO,0.4,0,5.9,,,4330690,490275,NA,NA
6697,PIPO,0.4,0,5.7,,,4330750,490041,NA,NA
6845,PIPO,0.4,0,5.6,,,4330700,490183,NA,NA
6738,PIPO,0.4,0,5.4,,,4330730,490286,NA,NA
6842,PIPO,0.4,0,5.4,,,4330700,490203,NA,NA
6721,PIPO,0.4,0,5.3,,,4330710,490269,NA,NA
6745,PIPO,0.4,0,5.2,,,4330750,490292,NA,NA
6782,PSME,0.4,0,5.2,,,4330740,490202,NA,NA
6881,PIPO,0.4,0,5.2,,,4330680,490169,NA,NA
5455,PIPO,0.4,0,5.1,,,4330660,490271,NA,NA
6813,PIPO,0.4,0,5.1,,,4330670,490197,NA,NA
6847,PIPO,0.4,0,5.1,,,4330640,490022,NA,NA
5463,PIPO,0.4,0,5,,,4330630,490066,NA,NA
5476,PIPO,0.4,0,5,,,4330640,490104,NA,NA
6773,PIPO,0.4,0,5,,,4330740,490241,NA,NA
6795,PIPO,0.4,0,5,,,4330710,490152,NA,NA
6855,PIPO,0.4,0,5,,,4330690,490081,NA,NA
6860,PIPO,0.4,0,5,,,4330680,490098,NA,NA
6871,PIPO,0.4,0,5,,,4330680,490114,NA,NA
5133,PIPO,0.4,0,4.9,,,4330890,490094,NA,NA
5142,PIPO,0.4,0,4.9,,,4330900,490089,NA,NA
5205,PIPO,0.4,0,4.9,,,4330880,490180,NA,NA
5213,PIPO,0.4,0,4.9,,,4330880,490183,NA,NA
5247,PIPO,0.4,0,4.9,,,4330900,490219,NA,NA
5473,PIPO,0.4,0,4.9,,,4330660,490057,NA,NA
5481,PIPO,0.4,0,4.9,,,4330650,490108,NA,NA
6807,PIPO,0.4,0,4.9,,,4330660,490188,NA,NA
6904,PIPO,0.4,0,4.9,,,4330700,490020,NA,NA
6975,PIPO,0.4,0,4.9,,,4330700,490086,NA,NA
5210,PIPO,0.4,0,4.8,,,4330880,490182,NA,NA
5273,PIPO,0.4,0,4.8,,,4330860,490245,NA,NA
5457,PIPO,0.4,0,4.8,,,4330650,490251,NA,NA
6801,PIPO,0.4,0,4.8,,,4330630,490156,NA,NA
6810,PIPO,0.4,0,4.8,,,4330670,490192,NA,NA
6822,PIPO,0.4,0,4.8,,,4330670,490215,NA,NA
6883,PIPO,0.4,0,4.8,,,4330670,490175,NA,NA
6893,PIPO,0.4,0,4.8,,,4330710,490242,NA,NA
6986,PIPO,0.4,0,4.8,,,4330710,490048,NA,NA
5184,PIPO,0.4,0,4.7,,,4330890,490174,NA,NA
5191,PIPO,0.4,0,4.7,,,4330870,490172,NA,NA
5451,PIPO,0.4,0,4.7,,,4330650,490284,NA,NA
6763,PIPO,0.4,0,4.7,,,4330750,490247,NA,NA
6981,PIPO,0.4,0,4.7,,,4330700,490055,NA,NA
6982,PIPO,0.4,0,4.7,,,4330700,490055,NA,NA
6751,PIPO,0.4,0,4.6,,,4330750,490287,NA,NA
6792,PIPO,0.4,0,4.6,,,4330700,490177,NA,NA
5477,PIPO,0.4,0,4.5,,,4330640,490105,NA,NA
5480,PIPO,0.4,0,4.5,,,4330630,490115,NA,NA
5496,PIPO,0.4,0,4.5,,,4330630,490140,NA,NA
6858,PIPO,0.5,0,5.1,,Bearing 2 missing,4330680,490080,NA,NA
4574,PIPO,0.5,2.1,6.8,,Dead Top/ 1 Live branch @ 6.8ft,4330850,490023,NA,NA
6692,PIPO,0.5,2.3,5.9,,Forked to 6691,4330750,490056,NA,NA
4227,PIPO,0.5,4.2,6.7,check position!,Measurement Issue,4330870,489995,NA,NA
6965,PIPO,0.5,0,5.1,,one bearing thrown out,4330700,490119,NA,NA
5319,PIPO,0.5,5.1,6.1,,,4330900,490243,NA,NA
4995,PIPO,0.5,4.4,6.1,,,4330890,490067,NA,NA
4964,PIPO,0.5,4,5.9,,,4330870,490006,NA,NA
5015,PIPO,0.5,3.9,7,,,4330890,490085,NA,NA
6543,PIPO,0.5,3.7,6.3,,,4330830,490169,NA,NA
5043,PIPO,0.5,3.6,5.5,,,4330870,490098,NA,NA
5011,PIPO,0.5,3.5,6.8,,,4330890,490081,NA,NA
5010,PIPO,0.5,3.5,6.7,,,4330890,490081,NA,NA
4479,PIPO,0.5,3.5,6,,,4330880,490243,NA,NA
5063,PIPO,0.5,3.4,6.1,,,4330850,490097,NA,NA
6571,PIPO,0.5,3.4,5.7,,,4330870,490150,NA,NA
4996,PIPO,0.5,3.4,5.5,,,4330890,490067,NA,NA
5029,PIPO,0.5,3.3,5.6,,,4330870,490069,NA,NA
4712,PIPO,0.5,3.3,5.6,,,4330790,490201,NA,NA
