TreeNumber,UTM_X,UTM_Y,Grid_X,Grid_Y,Species,D.A.,DBH_cm,Height_m,CBH_m
13,1019247.111,4334887.39,174.3,83.2,PIPU,,1.778,1,0.5
35,1019132.142,4335051.224,66.4,251.8,PIPO,,1.27,1.2,0.7
2,1019448.422,4335013.5,380.7,200.9,PIEN,,1.016,1.4,0
65,1019464.136,4335198.36,404.2,384.9,PSME,,1.016,1.5,0.9
43,1019162.422,4334890.691,89.9,90.1,PSME,,1.016,1.5,0.9
25,1019171.719,4334892.886,99.3,91.8,PSME,,1.016,1.5,0.5
27,1019235.341,4334925.019,164.1,121.4,PSME,,1.016,1.5,0.5
2,1019420.141,4335133.702,357.5,322,PSME,,1.016,1.5,0.2
49,1019487.71,4335126.191,424.8,311.8,PSME,,1.016,1.5,0.1
2,1019117.942,4335201.191,58.4,402.1,PIFL2,,1.016,1.5,0.5
50,1019145.473,4334947.089,75.3,147.1,PIEN,,1.016,1.5,1
27,1019415.7,4334834.066,340.5,23,PIEN,,1.016,1.5,1
30,1019415.894,4334834.177,340.7,23.1,PIEN,,1.016,1.5,1
65,1019127.407,4334918.815,56.2,119.6,PIEN,,1.016,1.5,0.9
6,1019456.063,4335174.619,395.1,361.4,PIEN,,1.016,1.5,0.8
52,1019460.037,4335196.341,400,383.1,PIEN,,1.016,1.5,0.8
14,1019186.598,4334903.468,114.5,101.8,PIEN,,1.016,1.5,0.8
51,1019131.086,4334919.31,59.9,119.9,PIEN,,1.016,1.5,0.8
21,1019452.987,4335169.952,392,356.9,PIEN,,1.016,1.5,0.7
8,1019455.49,4335174.088,394.5,360.9,PIEN,,1.016,1.5,0.7
38,1019256.85,4334825.304,181.4,20.9,PIEN,,1.016,1.5,0.7
2,1019441.012,4335194.451,380.9,382,PIEN,,1.016,1.5,0.7
77,1019196.273,4334873.221,123,71.3,PIEN,,1.016,1.5,0.7
21,1019185.978,4334901.933,113.8,100.3,PIEN,,1.016,1.5,0.7
95,1019199.22,4334876.181,126.1,74.1,PIEN,,1.016,1.5,0.6
19,1019241.545,4334886.595,168.7,82.7,PIEN,,1.016,1.5,0.6
19,1019186.235,4334902.748,114.1,101.1,PIEN,,1.016,1.5,0.6
15,1019132.312,4334899.93,60.1,100.7,PIEN,,1.016,1.5,0.6
11,1019454.218,4335173.52,393.2,360.4,PIEN,,1.016,1.5,0.5
43,1019445.514,4335175.262,384.6,362.6,PIEN,,1.016,1.5,0.5
14,1019419.673,4334834.677,344.5,23.4,PIEN,,1.016,1.5,0.5
16,1019418.574,4334834.619,343.4,23.4,PIEN,,1.016,1.5,0.5
21,1019418.27,4334832.8,343,21.6,PIEN,,1.016,1.5,0.5
111,1019266.623,4334837.437,191.8,32.5,PIEN,,1.016,1.5,0.5
43,1019216.92,4334830.537,141.8,27.8,PIEN,,1.016,1.5,0.5
20,1019273.5,4335205.575,214.2,400,PIEN,,1.016,1.5,0.5
26,1019193.797,4335199.827,134.3,397.6,PIEN,,1.016,1.5,0.5
8,1019136.337,4334858.788,62.6,59.4,PIEN,,1.016,1.5,0.5
32,1019225.742,4334897.593,153.5,94.3,PIEN,,1.016,1.5,0.5
17,1019135.512,4334893.992,63.2,94.6,PIEN,,1.016,1.5,0.5
15,1019186.193,4334903.547,114.1,101.9,PIEN,,1.016,1.5,0.5
67,1019193.856,4334958.107,124.2,156.2,PIEN,,1.016,1.5,0.5
50,1019390.94,4335184.746,330.6,374.3,PIEN,,1.016,1.5,0.4
30,1019487.325,4335187.454,427,373,PIEN,,1.016,1.5,0.4
14,1019266.666,4334834.736,191.7,29.8,PIEN,,1.016,1.5,0.4
44,1019467.448,4335196.332,407.4,382.7,PIEN,,1.016,1.5,0.4
47,1019466.154,4335198.066,406.2,384.5,PIEN,,1.016,1.5,0.4
48,1019466.154,4335198.066,406.2,384.5,PIEN,,1.016,1.5,0.4
35,1019121.453,4335216.18,62.7,417.1,PIEN,,1.016,1.5,0.4
36,1019242.289,4334868.41,168.7,64.5,PIEN,,1.016,1.5,0.4
38,1019243.071,4334872.558,169.7,68.6,PIEN,,1.016,1.5,0.4
35,1019177.169,4334869.023,103.7,67.9,PIEN,,1.016,1.5,0.4
35,1019267.707,4334889.864,195,84.8,PIEN,,1.016,1.5,0.4
33,1019220.64,4334903.53,148.5,100.5,PIEN,,1.016,1.5,0.4
5,1019188.033,4334902.843,115.9,101.1,PIEN,,1.016,1.5,0.4
30,1019184.921,4334902.978,112.8,101.4,PIEN,,1.016,1.5,0.4
57,1019122.042,4334924.038,50.9,125.1,PIEN,,1.016,1.5,0.4
63,1019130.829,4334978.157,62.1,178.9,PIEN,,1.016,1.5,0.4
11,1019318.274,4335153.536,256.6,346.1,PIEN,,1.016,1.5,0.3
23,1019467.218,4335181.4,406.6,367.8,PIEN,,1.016,1.5,0.3
20,1019419.285,4334832.554,344,21.3,PIEN,,1.016,1.5,0.3
31,1019417.896,4334836.085,342.8,24.9,PIEN,,1.016,1.5,0.3
